Nazev;Cena [Kè];Kapacita [GB];Kè/TB;Popis;URL
WD Ultrastar DC HC510 (He10) 10TB;9075,00;10000,00;907,50;"Interní HDD / Kapacita 10000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-ultrastar-dc-hc510-he10-10tb-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-4kn-ise-5y-pro-servery+dp442160/
Rozbaleno - WD Ultrastar DC HC310 7K6 4TB;3742,00;4000,00;935,50;"Interní HDD / Kapacita 4000 GB / 7 200 otáèek / Cache 256 MB / Specifikace SCSI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/rozbaleno-wd-ultrastar-dc-hc310-7k6-4tb-hdd-35quot-sas-12gbs-7-200-rpm-512e-se-p3-256mb-cache-pro-nas-rozbaleno+dp457070/
WD Ultrastar DC HC320 8TB;6005,00;8000,00;750,62;"Interní HDD / Kapacita 8000 GB / 7 200 otáèek / Cache 256 MB / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-ultrastar-dc-hc320-8tb-hdd-35quot-sas-12-gbs-7-200-rpm-256-mb-cache-5y+dp442042/
WD Ultrastar DC HC520 12TB;8434,00;12000,00;702,83;"Interní HDD / Kapacita 12000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-ultrastar-dc-hc520-12tb-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-5y-pro-servery-bulk+dp442085/
SEAGATE Exos Enterprise 2.4TB;7019,00;2400,00;2924,58;"Interní HDD / Kapacita 2400 GB / 10 000 otáèek / Cache 256 MB / Specifikace SCSI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / MTBF 2000000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-enterprise-24tb-interni-35quot-sas-iii-256mb-cache-10000rpm-5y+dp443263/
WD Ultrastar DC HC310 7K6 4TB;5304,00;4000,00;1326,00;"Interní HDD / Kapacita 4000 GB / 7 200 otáèek / Cache 256 MB / Specifikace SCSI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-ultrastar-dc-hc310-7k6-4tb-hdd-35quot-sas-12gbs-7-200-rpm-512e-se-p3-256mb-cache-pro-nas+dp443307/
WD Ultrastar DC HGST 12TB;10969,00;12000,00;914,08;"Interní HDD / Kapacita 12000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-ultrastar-dc-hgst-12tb-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-5y-pro-servery+dp456562/
Rozbaleno - DELL server 600GB;3490,00;600,00;5816,67;"Interní HDD / Kapacita 600 GB / 15 000 otáèek / Formát Klasický - 2.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Kov / Záruka 24 mìsícù";https://www.mironet.cz/rozbaleno-dell-server-600gb-hotplug-sas-15000-rpm-25quot-pro-poweredge-r440-r540-r640-r740xd-rozbaleno+dp411923/
Rozbaleno - Seagate Exos 7E8 8TB;5999,00;8000,00;749,88;"Interní HDD / Kapacita 8000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / JBOD, NCQ, RAID, RoHS / Kov";https://www.mironet.cz/rozbaleno-seagate-exos-7e8-8tb-hdd-35quot-sas-12gbps-7-200-rpm-256mb-cache-rozbaleno+dp429035/
Rozbaleno - Seagate Exos 7E8 Enterprise 6TB 512e4KN;3499,00;6000,00;583,17;"Interní HDD / Kapacita 6000 GB / 7 200 otáèek / Cache 256 MB / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / MTBF 2000000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/rozbaleno-seagate-exos-7e8-enterprise-6tb-512e4kn-hdd-35quot-sas-12gbs-7-200-rpm-256mb-cache-5y-rozbaleno+dp473473/
